"date","transaction","description","amount","balance"
"2024-07-01","E_TRFIN","Interac e-Transfer® Received","150.0","192.54"
"2024-07-01","INT","Interest earned","0.47","193.01"
"2024-07-01","E_TRFOUT","Interac e-Transfer® Out","-56.0","137.01"
"2024-07-01","CASHBACK","Cashback received","0.03","137.04"
"2024-07-01","SPEND","Presto Fare/55j5d67r9q","-3.3","133.74"
"2024-07-01","TRFOUT","Transfer out","-0.03","133.71"
"2024-07-01","TRFOUT","Transfer out","-0.7","133.01"
"2024-07-02","E_TRFIN","Interac e-Transfer® Received","200.0","333.01"
"2024-07-02","TRFOUT","Transfer out","-0.07","332.94"
"2024-07-02","TRFOUT","Transfer out","-0.4","332.54"
"2024-07-02","SPEND","Presto Fare/55j254v2c7","-6.6","325.94"
"2024-07-02","CASHBACK","Cashback received","0.07","326.01"
"2024-07-02","CASHBACK","Cashback received","0.1","326.11"
"2024-07-02","SPEND","Shoppers Drug Mart","-9.56","316.55"
"2024-07-03","TRFOUT","Transfer out","-0.44","316.11"
"2024-07-03","TRFOUT","Transfer out","-0.1","316.01"
"2024-07-03","TRFOUT","Transfer out","-0.07","315.94"
"2024-07-03","TRFOUT","Transfer out","-0.4","315.54"
"2024-07-03","E_TRFOUT","Interac e-Transfer® Out","-26.98","288.56"
"2024-07-03","SPEND","Presto Fare/55j51kmwlx","-6.6","281.96"
"2024-07-03","CASHBACK","Cashback received","0.07","282.03"
"2024-07-03","SPEND","Uber* Eats Pending","-41.13","240.9"
"2024-07-03","CASHBACK","Cashback received","0.41","241.31"
"2024-07-03","TRFOUT","Transfer out","-0.87","240.44"
"2024-07-03","TRFOUT","Transfer out","-0.41","240.03"
"2024-07-03","CASHBACK","Cashback received","0.08","240.11"
"2024-07-03","SPEND","Pilot Coffee Union","-7.5","232.61"
"2024-07-03","TRFOUT","Transfer out","-0.5","232.11"
"2024-07-03","TRFOUT","Transfer out","-0.08","232.03"
"2024-07-03","SPEND","Steamgames.com 4259522","-5.63","226.4"
"2024-07-03","CASHBACK","Cashback received","0.06","226.46"
"2024-07-04","TRFOUT","Transfer out","-0.37","226.09"
"2024-07-04","TRFOUT","Transfer out","-0.06","226.03"
"2024-07-04","TRFOUT","Transfer out","-0.7","200.33"
"2024-07-04","TRFOUT","Transfer out","-0.03","200.3"
"2024-07-04","SPEND","Presto Fare/55j6b7qnqr","-3.3","197.0"
"2024-07-04","CASHBACK","Cashback received","0.03","197.03"
"2024-07-04","TRFOUT","Transfer out","-0.71","196.32"
"2024-07-04","TRFOUT","Transfer out","-0.11","196.21"
"2024-07-04","SPEND","Uber Canada/Uberone","-11.29","184.92"
"2024-07-04","CASHBACK","Cashback received","0.11","185.03"
"2024-07-04","E_TRFOUT","Interac e-Transfer® Out","-75.25","109.78"
"2024-07-04","SPEND","Bloor Street Independe","-84.19","-428.2"
"2024-07-04","CASHBACK","Cashback received","0.84","-427.36"
